Country,AreaId
AUT,1
GER,1
SUI,1
SLO,1
NGR,4
BIH,1
JPN,5
CZE,1
MNE,1
TUR,1
CUB,2
MAR,4
HUN,1
BUL,1
POL,1
LIE,1
CRO,1
LBR,4
FRA,1
RUS,1
ITA,1
GRE,1
USA,2
ARM,1
NED,1
SWE,1
MRI,4
KOR,5
SVK,1
AFG,5
IND,5
DEN,1
GBR,1
IRL,1
BEL,1
SYR,5
UKR,1
CAN,2
ROU,1
RSA,4
GEQ,4
KGZ,6
GEO,1
GAM,4
GAB,4
FIN,1
FIJ,6
ETH,4
GHA,4
ERI,4
GUM,6
ESA,2
EGY,4
ECU,3
DOM,2
DMA,2
DJI,4
CYP,1
CIV,4
EST,1
INA,5
KUW,5
PRK,5
KEN,4
KAZ,5
JOR,5
JAM,2
ISR,1
IRI,5
COD,4
ISL,1
HKG,5
HON,2
HAI,2
GUY,3
GBS,4
GUI,4
ZIM,4
IRQ,5
AUS,6
BEN,4
BER,2
BIZ,2
BLR,1
BAR,2
BAN,5
BRN,5
CRC,2
AZE,1
BIH,1
ARU,2
ARG,3
ANT,2
ANG,4
AND,1
ASA,6
ALG,4
ALB,1
BAH,2
CMR,4
GUA,2
CGO,4
COM,4
COL,3
CHN,5
CHI,3
CHA,4
CAF,4
BHU,5
CPV,4
BOL,3
CAM,5
BDI,4
BUR,4
BRU,5
IVB,2
BRA,3
BOT,4
COK,6
CAY,2
SEN,4
LAO,5
SUD,4
SRI,5
ESP,1
SOM,4
SOL,6
SGP,5
QAT,5
SEY,5
TJK,5
KSA,5
STP,2
SMR,1
SAM,6
VIN,2
LCA,2
SKN,2
RWA,4
SLE,4
UGA,4
ZAM,4
YEM,5
VIE,5
VEN,3
VAN,6
UZB,1
URU,3
SWZ,4
UAE,5
GRN,2
TKM,6
TUN,4
TTO,4
TGA,2
TOG,4
THA,5
TAN,4
SUR,3
MAD,4
MON,1
MDA,1
FSM,6
MEX,2
MTN,4
MLT,1
MLI,4
MDV,5
MGL,5
MAW,4
LIB,5
MKD,1
LUX,1
LTU,1
LBA,4
LES,4
PUR,2
LAT,1
TPE,5
MAS,5
OMA,5
POR,1
PHI,5
PER,3
PAR,3
PNG,6
PAN,3
PLE,5
MOZ,4
PAK,5
NOR,1
NIG,4
NCA,2
NZL,6
AHO,2
NEP,5
NRU,6
NAM,4
MYA,5
PLW,6
GRE,1
HUN,1
SRB,1
AIA,2
ANA,0
MAC,5
TLS,5
ISV,2
KOS,1
MHL,6
SSD,4
TUV,6
NN,0
XXA,0
